date,event_1,event_2
1421-01-13,جشن سیزده به در,
1421-03-02,شهادت حضرت فاطمه زهرا سلام الله علیها,
1421-03-14,رحلت حضرت امام خمینی,
1421-03-15,قیام 15 خرداد,
1421-04-11,ولادت امام علی علیه السلام و روز پدر,
1421-04-25,مبعث رسول اکرم (ص),
1421-05-11,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1421-06-16,شهادت حضرت علی علیه السلام,
1421-06-25,عید سعید فطر,
1421-06-26,تعطیل به مناسبت عید سعید فطر,
1421-07-18,شهادت امام جعفر صادق علیه السلام,
1421-09-03,عید سعید قربان,
1421-09-11,عید سعید غدیر خم,
1421-10-02,تاسوعای حسینی,
1421-10-03,عاشورای حسینی,
1421-11-12,اربعین حسینی,
1421-11-20,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1421-11-22,پیروزی انقلاب اسلامی,شهادت امام رضا علیه السلام
1421-11-30,شهادت امام حسن عسکری علیه السلام,
1421-12-09,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1421-12-29,روز ملی شدن صنعت نفت ایران,
1422-01-01,جشن نوروز/جشن سال نو,
1422-01-02,عیدنوروز,
1422-01-03,عیدنوروز,
1422-01-04,عیدنوروز,
1422-01-12,روز جمهوری اسلامی,
1422-01-13,جشن سیزده به در,
1422-02-23,شهادت حضرت فاطمه زهرا سلام الله علیها,
1422-03-14,رحلت حضرت امام خمینی,
1422-03-15,قیام 15 خرداد,
1422-03-31,ولادت امام علی علیه السلام و روز پدر,
1422-04-14,مبعث رسول اکرم (ص),
1422-05-01,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1422-06-05,شهادت حضرت علی علیه السلام,
1422-06-14,عید سعید فطر,
1422-06-15,تعطیل به مناسبت عید سعید فطر,
1422-07-07,شهادت امام جعفر صادق علیه السلام,
1422-08-22,عید سعید قربان,
1422-08-30,عید سعید غدیر خم,
1422-09-21,تاسوعای حسینی,
1422-09-22,عاشورای حسینی,
1422-11-02,اربعین حسینی,
1422-11-10,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1422-11-19,شهادت امام حسن عسکری علیه السلام,
1422-11-22,پیروزی انقلاب اسلامی,
1422-11-28,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1422-12-29,روز ملی شدن صنعت نفت ایران,
1423-01-01,جشن نوروز/جشن سال نو,
1423-01-02,عیدنوروز,
1423-01-03,عیدنوروز,
1423-01-04,عیدنوروز,
1423-01-12,روز جمهوری اسلامی,
1423-01-13,جشن سیزده به در,
1423-02-13,شهادت حضرت فاطمه زهرا سلام الله علیها,
1423-03-14,رحلت حضرت امام خمینی,
1423-03-15,قیام 15 خرداد,
1423-03-21,ولادت امام علی علیه السلام و روز پدر,
1423-04-04,مبعث رسول اکرم (ص),
1423-04-21,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1423-05-26,شهادت حضرت علی علیه السلام,
1423-06-04,عید سعید فطر,
1423-06-05,تعطیل به مناسبت عید سعید فطر,
1423-06-28,شهادت امام جعفر صادق علیه السلام,
1423-08-11,عید سعید قربان,
1423-08-19,عید سعید غدیر خم,
1423-09-10,تاسوعای حسینی,
1423-09-11,عاشورای حسینی,
1423-10-21,اربعین حسینی,
1423-10-29,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1423-11-08,شهادت امام حسن عسکری علیه السلام,
1423-11-17,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1423-11-22,پیروزی انقلاب اسلامی,
1423-12-29,روز ملی شدن صنعت نفت ایران,
1424-01-01,جشن نوروز/جشن سال نو,
1424-01-02,عیدنوروز,
