Date,Jalali_Date,Description,Description2
2012-08-19,1391-05-29,Eid-e-Fitr,
2012-08-20,1391-05-30,Eid-e-Fitr,
2012-09-12,1391-06-22,Martyrdom of Imam Sadeq,
2012-10-26,1391-08-05,Eid-e-Qorban,
2012-11-03,1391-08-13,Eid-e-Ghadir,
2012-11-24,1391-09-04,Tasoua,
2012-11-25,1391-09-05,Ashoura,
2013-01-03,1391-10-14,Arbaeen,
2013-01-20,1391-11-01,Martyrdom of Imam Hassa Askari,
2013-01-29,1391-11-10,Birthday of Muhammed,
2013-02-10,1391-11-22,Islamic Revolution Day,
2013-03-19,1391-12-29,Oil Nationalization Day,
2013-03-21,1392-01-01,Nowrouz,
2013-03-22,1392-01-02,Nowrouz,
2013-03-23,1392-01-03,Nowrouz,
2013-03-24,1392-01-04,Nowrouz,
2013-04-01,1392-01-12,Islamic Republic Day,
2013-04-02,1392-01-13,Nature Day,
2013-04-14,1392-01-25,Death of Fatima,
2013-05-24,1392-03-03,Birthday of Imam Ali,
2013-06-04,1392-03-14,Demise of Imam Khomeini,
2013-06-05,1392-03-15,Khordad National Uprising,
2013-06-07,1392-03-17,The Prophet's Ascension,
2013-06-24,1392-04-03,Birthday of Imam Mahdi,
2013-07-30,1392-05-08,Martyrdom of Imam Ali,
2013-08-09,1392-05-18,Eid-e-Fitr,
2013-08-10,1392-05-19,Eid-e-Fitr,
2013-09-02,1392-06-11,Martyrdom of Imam Sadeq,
2013-10-16,1392-07-24,Eid-e-Qorban,
2013-10-24,1392-08-02,Eid-e-Ghadir,
2013-11-13,1392-08-22,Tasoua,
2013-11-14,1392-08-23,Ashoura,
2013-12-23,1392-10-02,Arbaeen,
2014-01-02,1392-10-12,Martyrdom of Imam Reza,
2014-01-10,1392-10-20,Martyrdom of Imam Hassa Askari,
2014-01-19,1392-10-29,Birthday of Muhammed,
2014-02-11,1392-11-22,Islamic Revolution Day,
2014-03-20,1392-12-29,Oil Nationalization Day,
2014-03-21,1393-01-01,Nowrouz,
2014-03-22,1393-01-02,Nowrouz,
2014-03-23,1393-01-03,Nowrouz,
2014-03-24,1393-01-04,Nowrouz,
2014-04-01,1393-01-12,Islamic Republic Day,
2014-04-02,1393-01-13,Nature Day,
2014-04-03,1393-01-14,Death of Fatima,
2014-05-13,1393-02-23,Birthday of Imam Ali,
2014-05-27,1393-03-06,The Prophet's Ascension,
2014-06-04,1393-03-14,Demise of Imam Khomeini,
2014-06-05,1393-03-15,Khordad National Uprising,
2014-06-13,1393-03-23,Birthday of Imam Mahdi,
2014-07-19,1393-04-28,Martyrdom of Imam Ali,
2014-07-29,1393-05-07,Eid-e-Fitr,
2014-07-30,1393-05-08,Eid-e-Fitr,
2014-08-22,1393-05-31,Martyrdom of Imam Sadeq,
2014-10-05,1393-07-13,Eid-e-Qorban,
2014-10-13,1393-07-21,Eid-e-Ghadir,
2014-11-03,1393-08-12,Tasoua,
2014-11-04,1393-08-13,Ashoura,
2014-12-13,1393-09-22,Arbaeen,
2014-12-23,1393-10-02,Martyrdom of Imam Reza,
2014-12-31,1393-10-10,Martyrdom of Imam Hassa Askari,
2015-01-09,1393-10-19,Birthday of Muhammed,
2015-02-11,1393-11-22,Islamic Revolution Day,
2015-03-20,1393-12-29,Oil Nationalization Day,
2015-03-21,1394-01-01,Nowrouz,
2015-03-22,1394-01-02,Nowrouz,
2015-03-23,1394-01-03,Nowrouz,
2015-03-24,1394-01-04,Nowrouz,Death of Fatima
2015-04-01,1394-01-12,Islamic Republic Day,
2015-04-02,1394-01-13,Nature Day,
2015-05-02,1394-02-12,Birthday of Imam Ali,
2015-05-16,1394-02-26,The Prophet's Ascension,
2015-06-03,1394-03-13,Birthday of Imam Mahdi,
2015-06-04,1394-03-14,Demise of Imam Khomeini,
2015-06-05,1394-03-15,Khordad National Uprising,
2015-07-08,1394-04-17,Martyrdom of Imam Ali,
2015-07-18,1394-04-27,Eid-e-Fitr,
2015-07-19,1394-04-28,Eid-e-Fitr,
2015-08-11,1394-05-20,Martyrdom of Imam Sadeq,
2015-09-24,1394-07-02,Eid-e-Qorban,
2015-10-02,1394-07-10,Eid-e-Ghadir,
2015-10-23,1394-08-01,Tasoua,
2015-10-24,1394-08-02,Ashoura,
2015-12-02,1394-09-11,Arbaeen,
2015-12-12,1394-09-21,Martyrdom of Imam Reza,
2015-12-20,1394-09-29,Martyrdom of Imam Hassa Askari,
2015-12-29,1394-10-08,Birthday of Muhammed,
2016-02-11,1394-11-22,Islamic Revolution Day,
2016-03-13,1394-12-23,Death of Fatima,
2016-03-19,1394-12-29,Oil Nationalization Day,
2016-03-20,1395-01-01,Nowrouz,
2016-03-21,1395-01-02,Nowrouz,
2016-03-22,1395-01-03,Nowrouz,
2016-03-23,1395-01-04,Nowrouz,
2016-03-31,1395-01-12,Islamic Republic Day,
2016-04-01,1395-01-13,Nature Day,
2016-04-21,1395-02-02,Birthday of Imam Ali,
2016-05-05,1395-02-16,The Prophet's Ascension,
2016-05-22,1395-03-02,Birthday of Imam Mahdi,
2016-06-03,1395-03-14,Demise of Imam Khomeini,
2016-06-04,1395-03-15,Khordad National Uprising,
2016-06-27,1395-04-07,Martyrdom of Imam Ali,
2016-07-06,1395-04-16,Eid-e-Fitr,
2016-07-07,1395-04-17,Eid-e-Fitr,
2016-07-30,1395-05-09,Martyrdom of Imam Sadeq,
2016-09-12,1395-06-22,Eid-e-Qorban,
2016-09-20,1395-06-30,Eid-e-Ghadir,
2016-10-11,1395-07-20,Tasoua,
2016-10-12,1395-07-21,Ashoura,
2016-11-20,1395-08-30,Arbaeen,
2016-11-30,1395-09-10,Martyrdom of Imam Reza,
2016-12-08,1395-09-18,Martyrdom of Imam Hassa Askari,
2016-12-17,1395-09-27,Birthday of Muhammed,
2017-02-10,1395-11-22,Islamic Revolution Day,
2017-03-02,1395-12-12,Death of Fatima,
2017-03-19,1395-12-29,Oil Nationalization Day,
2017-03-21,1396-01-01,Nowrouz,
2017-03-22,1396-01-02,Nowrouz,
2017-03-23,1396-01-03,Nowrouz,
2017-03-24,1396-01-04,Nowrouz,
2017-04-01,1396-01-12,Islamic Republic Day,
2017-04-02,1396-01-13,Nature Day,
2017-04-11,1396-01-22,Birthday of Imam Ali,
2017-04-25,1396-02-05,The Prophet's Ascension,
2017-05-12,1396-02-22,Birthday of Imam Mahdi,
2017-06-04,1396-03-14,Demise of Imam Khomeini,
2017-06-05,1396-03-15,Khordad National Uprising,
2017-06-16,1396-03-26,Martyrdom of Imam Ali,
2017-06-26,1396-04-05,Eid-e-Fitr,
2017-06-27,1396-04-06,Eid-e-Fitr,
2017-07-20,1396-04-29,Martyrdom of Imam Sadeq,
2017-09-01,1396-06-10,Eid-e-Qorban,
2017-09-09,1396-06-18,Eid-e-Ghadir,
